src_lang	tgt_lang	src_text	mt_text	omit_spans	hall_spans	class_hall	class_omit	data_source
eng_Latn	arb_Arab	The invention of spoke wheels made Assyrian chariots lighter, faster, and better prepared to outrun soldiers and other chariots.	إختراع العجلات الفاسدة جعل العربات الآشورية أسهل وأسرع وأكثر استعدادًا للهروب من الجنود والعربات الأخرى.	The invention of spoke wheels made Assyrian chariots lighter, faster, and better prepared to outrun soldiers and other chariots.	إختراع العجلات الفاسدة جعل العربات الآشورية أسهل وأسرع وأكثر استعدادًا للهروب من الجنود والعربات الأخرى.	1_No_hallucination	1_No_omission	flores
eng_Latn	arb_Arab	I THOUGHT YOU KILLED HIM.	إعتقدت أنك قتلته	I THOUGHT YOU KILLED HIM<<<.>>>	إعتقدت أنك قتلته	1_No_hallucination	2_Small_omission	wiki
eng_Latn	arb_Arab	Both golf and rugby are set to return to the Olympic Games.	كل من الغولف والرجبي ستعود إلى الألعاب الأولمبية	Both golf and rugby are set to return to the Olympic Games<<<.>>>	كل من الغولف والرجبي ستعود إلى الألعاب الأولمبية	1_No_hallucination	2_Small_omission	flores
eng_Latn	arb_Arab	: The Post ceased operations as a weekly publication in 1969.	: توقف البريد عن العمل كمنشور أسبوعي في عام 1969.	: The Post ceased operations as a weekly publication in 1969.	: توقف البريد عن العمل كمنشور أسبوعي في عام 1969.	1_No_hallucination	1_No_omission	wiki
eng_Latn	arb_Arab	Typical for the period, Kirby Muxloe Castle is more of a fortified house than a true castle.	نموذجية للفترة، قلعة كيربي مكسلو هي أكثر من منزل محصن من قلعة حقيقية.	Typical for the period, Kirby Muxloe Castle is more of a fortified house than a true castle.	نموذجية للفترة، قلعة كيربي مكسلو هي أكثر من منزل محصن من قلعة حقيقية.	1_No_hallucination	1_No_omission	flores
eng_Latn	arb_Arab	A president is chosen for a month.	يتم اختيار رئيس لمدة شهر.	A president is chosen for a month.	يتم اختيار رئيس لمدة شهر.	1_No_hallucination	1_No_omission	wiki
eng_Latn	arb_Arab	So if you were standing by the shoreline, you would be able to see down to whatever pebbles or gunk that was on the bottom.	إذا كنت تقف بالقرب من الشاطئ، ستتمكن من رؤية إلى أسفل أي حجارة أو قمامة كانت على القاع.	So if you were standing by the shoreline, you would be able to see down to whatever pebbles or gunk that was on the bottom.	إذا كنت تقف بالقرب من الشاطئ، ستتمكن من رؤية إلى أسفل أي حجارة أو قمامة كانت على القاع.	1_No_hallucination	1_No_omission	flores
eng_Latn	arb_Arab	At the top end, B&Bs obviously compete mainly on two main things: bedding and breakfast.	في الجزء العلوي، من الواضح أن المطاعم والمطاعم تتنافس بشكل رئيسي على شيئين رئيسيين: ملابس السرير والفطور.	At the top end, B&Bs obviously compete mainly on two main things: bedding and breakfast.	في الجزء العلوي، من الواضح أن المطاعم والمطاعم تتنافس بشكل رئيسي على شيئين رئيسيين: ملابس السرير والفطور.	1_No_hallucination	1_No_omission	flores
eng_Latn	arb_Arab	... class=start importance=low	... الصف = أهمية البدء = منخفضة	... class=start importance=low	... الصف = أهمية البدء = منخفضة	1_No_hallucination	1_No_omission	wiki
eng_Latn	arb_Arab	Internationally, there are nearly 200 running tour organizations. Most of them operate independently.	في جميع أنحاء العالم، هناك ما يقرب من 200 منظمة رحلات تجارية، معظمها يعمل بشكل مستقل.	Internationally, there are nearly 200 <<<running>>> tour organizations. Most of them operate independently.	في جميع أنحاء العالم، هناك ما يقرب من 200 منظمة رحلات تجارية، معظمها يعمل بشكل مستقل.	1_No_hallucination	2_Small_omission	flores
eng_Latn	arb_Arab	It is bad approach buddy for you.	إنه مقاربة سيئة يا صاح	It is bad approach buddy <<<for you.>>>	إنه مقاربة سيئة يا صاح	1_No_hallucination	2_Small_omission	wiki
eng_Latn	arb_Arab	He has also been accused previously of copyright infringement, but was not charged.	كان متهمًا سابقًا أيضًا بانتهاك حقوق الطبع والنشر، ولكن لم يتم توجيه تهم له.	He has also been accused previously of copyright infringement, but was not charged.	كان متهمًا سابقًا أيضًا بانتهاك حقوق الطبع والنشر، ولكن لم يتم توجيه تهم له.	1_No_hallucination	1_No_omission	flores
eng_Latn	arb_Arab	"To finish, Turkish dance group Fire of Anatolia performed the show ""Troy""."	"وأخيراً، قامت مجموعة الرقص التركية ""فاير أوف أنادوليا"" بعرض ""تروي""."	"To finish, Turkish dance group Fire of Anatolia performed the show ""Troy""."	"وأخيراً، قامت مجموعة الرقص التركية ""فاير أوف أنادوليا"" بعرض ""تروي""."	1_No_hallucination	1_No_omission	flores
eng_Latn	arb_Arab	They need to show the insurer's e-mail address and international phone numbers for advice/authorizations and making claims.	يحتاجون إلى إظهار عنوان البريد الإلكتروني للشركة التأمينية وأرقام الهاتف الدولية للحصول على المشورة/الاجازات وتقديم المطالبات.	They need to show the insurer's e-mail address and international phone numbers for advice/authorizations and making claims.	يحتاجون إلى إظهار عنوان البريد الإلكتروني للشركة التأمينية وأرقام الهاتف الدولية للحصول على المشورة/الاجازات وتقديم المطالبات.	1_No_hallucination	1_No_omission	flores
eng_Latn	arb_Arab	Some German monks wanted to bring God closer to the native people, so they invented the Estonian literal language.	بعض الرهبان الألمان يريدون أن يقربوا الله من السكان الأصليين، لذلك ابتكروا اللغة الإستونية حرفيا.	Some German monks wanted to bring God closer to the native people, so they invented the Estonian literal language.	بعض الرهبان الألمان يريدون أن يقربوا الله من السكان الأصليين، لذلك ابتكروا اللغة الإستونية حرفيا.	1_No_hallucination	1_No_omission	flores
eng_Latn	arb_Arab	User:98.177.208.122, please could you supply a source when you make changes to an article.	المستخدم:98.177.208.122, من فضلك هل يمكنك توفير مصدر عندما تقوم بتغييرات على مقالة.	User:98.177.208.122, please could you supply a source when you make changes to an article.	المستخدم:98.177.208.122, من فضلك هل يمكنك توفير مصدر عندما تقوم بتغييرات على مقالة.	1_No_hallucination	1_No_omission	wiki
eng_Latn	arb_Arab	::::Er, no. The same	لا، نفس الشيء	<<<::::Er, >>>no. The same	لا، نفس الشيء	1_No_hallucination	3_Partial_omission	wiki
eng_Latn	arb_Arab	:::Hey, if I'm the admin-on-retainer, shouldn't I be #2?	إذا كنت أنا المدير، أليس من المفترض أن أكون رقم 2؟	<<<:::Hey, >>>if I'm the admin-on-retainer, shouldn't I be #2?	إذا كنت أنا المدير، أليس من المفترض أن أكون رقم 2؟	1_No_hallucination	3_Partial_omission	wiki
eng_Latn	arb_Arab	GET FUCKED BITCH SLUT HORE HOE SKANK.	أخرجها من هنا	GET FUCKED BITCH SLUT HORE HOE SKANK<<<.>>>	أخرجها من هنا	1_No_hallucination	2_Small_omission	wiki
eng_Latn	arb_Arab	geartt because people suck on peoples fuckuing ween=eres	لأن الناس يمتصون الناس يضاجعوننا	geartt because people suck on peoples fuckuing ween=eres	لأن الناس يمتصون الناس يضاجعوننا	1_No_hallucination	1_No_omission	wiki
eng_Latn	arb_Arab	It has the same molecular structure whether it is a gas, liquid, or solid.	لديه نفس الهيكل الجزيئي سواء كان غازًا أو سائلاً أو صلبًا.	It has the same molecular structure whether it is a gas, liquid, or solid.	لديه نفس الهيكل الجزيئي سواء كان غازًا أو سائلاً أو صلبًا.	1_No_hallucination	1_No_omission	flores
eng_Latn	arb_Arab	And no, there isn't supposed to be a link in there.	و لا، ليس من المفترض أن يكون هناك صلة هناك.	And no, there isn't supposed to be a link in there.	و لا، ليس من المفترض أن يكون هناك صلة هناك.	1_No_hallucination	1_No_omission	wiki
eng_Latn	arb_Arab	:: Mr Ameriturd asshole, German police are not stormtroopers.	سيّد (أمريتورد) الأحمق، الشرطة الألمانية ليست قوات العاصفة	<<<:: >>>Mr Ameriturd asshole, German police are not stormtroopers<<<.>>>	سيّد (أمريتورد) الأحمق، الشرطة الألمانية ليست قوات العاصفة	1_No_hallucination	3_Partial_omission	wiki
eng_Latn	arb_Arab	::I think an earlier, concise version of this section should be reinstated.	::أعتقد أن نسخة سابقة وموجزة من هذا القسم يجب إعادة إدخالها.	::I think an earlier, concise version of this section should be reinstated.	::أعتقد أن نسخة سابقة وموجزة من هذا القسم يجب إعادة إدخالها.	1_No_hallucination	1_No_omission	wiki
eng_Latn	arb_Arab	The 100-metre ship was en route to pick up its usual fertiliser cargo and initially officials feared the vessel could spill a load.	كانت السفينة التي تبلغ طولها 100 متر في طريقها لالتقاط حمولة الأسمدة المعتادة وكان المسؤولون في البداية يخشون من أن السفينة قد تسرب حمولة.	The 100-metre ship was en route to pick up its usual fertiliser cargo and initially officials feared the vessel could spill a load.	كانت السفينة التي تبلغ طولها 100 متر في طريقها لالتقاط حمولة الأسمدة المعتادة وكان المسؤولون في البداية يخشون من أن السفينة قد تسرب حمولة.	1_No_hallucination	1_No_omission	flores
eng_Latn	arb_Arab	== PLEASE can someone improve the schoolboy English ==	{\pos (192,220) } هل يمكن لشخص ما أن يُحسّن الإنجليزية	<<<'==>>> PLEASE can someone improve the schoolboy English <<<==>>>	<<<{\pos (192,220) }>>> هل يمكن لشخص ما أن يُحسّن الإنجليزية	3_Partial_hallucination	3_Partial_omission	wiki
eng_Latn	arb_Arab	Time is also how we compare the duration (length) of events.	الوقت هو أيضا كيفية مقارنة مدة (طول) الأحداث.	Time is also how we compare the duration (length) of events.	الوقت هو أيضا كيفية مقارنة مدة (طول) الأحداث.	1_No_hallucination	1_No_omission	flores
eng_Latn	rus_Cyrl	The pattern should be deep enough, 5 mm (1/5 inch) or more, and the material soft enough in cold temperatures.	Модель должна быть достаточно глубокой, 5 мм (1/5 дюйма) или больше, а материал достаточно мягкий при холодных температурах.	The pattern should be deep enough, 5 mm (1/5 inch) or more, and the material soft enough in cold temperatures.	Модель должна быть достаточно глубокой, 5 мм (1/5 дюйма) или больше, а материал достаточно мягкий при холодных температурах.	1_No_hallucination	1_No_omission	flores
eng_Latn	rus_Cyrl	Basically, they fall into two categories: Either work while you travel or try and limit your expenses. This article is focused on the latter.	В основном, они подразделяются на две категории: либо на работу, пока вы путешествуете, либо на то, чтобы ограничить расходы.	Basically, they fall into two categories: Either work while you travel or try and limit your expenses. <<<This article is focused on the latter.>>>	В основном, они подразделяются на две категории: либо на работу, пока вы путешествуете, либо на то, чтобы ограничить расходы.	1_No_hallucination	3_Partial_omission	flores
eng_Latn	rus_Cyrl	HAHAHA criss d'anglais. kosser vou atendé pour me fuckin' bloker criss de fucker. vou etes juste des estii de caliss de fuckin sale a fuckin' grosse marde.	Хм, хм... хм... Хм. хм. Хм! Хм! хм.	HAHAHA criss d'anglais. kosser vou atendé pour me fuckin' bloker criss de fucker. vou etes juste des estii de caliss de fuckin sale a fuckin' grosse marde.	<<<Хм, хм... хм... Хм. хм. Хм! Хм! Хм>>>.	4_Full_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	That said, expect to be out of breath, and take care in the steeper portions, especially when wet, as it can become dangerous quickly.	Тем не менее, ожидайте, что у вас не будет дыхания, и будьте осторожны в более крутых частях, особенно когда они мокрые, так как они могут быстро стать опасными.	That said, expect to be out of breath, and take care in the steeper portions, especially when wet, as it can become dangerous quickly.	Тем не менее, ожидайте, что у вас не будет дыхания, и будьте осторожны в более крутых частях, особенно когда они мокрые, так как они могут быстро стать опасными.	1_No_hallucination	1_No_omission	flores
eng_Latn	rus_Cyrl	Especially if it has been there a long this.	Особенно, если это уже давно.	Especially if it has been there a long this.	Особенно, если это уже давно.	1_No_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.	Именно в 8:46 утра в городе прошел тишина, знаменующая точный момент, когда первый реактивный самолет попал в цель.	At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.	Именно в 8:46 утра в городе прошел тишина, знаменующая точный момент, когда первый реактивный самолет попал в цель.	1_No_hallucination	1_No_omission	flores
eng_Latn	rus_Cyrl	:Revised version: explicating the distinction is fine, insulting the field is not.	: пересмотренная версия: объяснение различия в порядке, оскорбление поля не в порядке.	:Revised version: explicating the distinction is fine, insulting the field is not.	: пересмотренная версия: объяснение различия в порядке, оскорбление поля не в порядке.	1_No_hallucination	1_No_omission	wiki
